Grid size
X: 118
Y: 81

(x,y,water/land,city)
0: Water, 1: Land (Not Florida), 2: Land (Florida)
0: No city, >0 city ID

(59,18,1,none)
(102,13,1,none)
(18,81,0,none)
(21,29,0,none)
(44,63,2,none)
(1,24,0,none)
(67,37,0,none)
(90,18,0,none)
(47,27,1,none)
(56,40,0,none)
(9,81,0,none)
(12,81,0,none)
(84,11,1,none)
(1,6,0,none)
(28,35,1,none)
(16,76,2,none)
(30,71,0,none)
(104,11,0,none)
(13,21,0,none)
(93,8,1,none)
(65,24,1,none)
(34,79,2,none)
(117,10,1,none)
(34,56,2,none)
(61,7,0,none)
(103,9,0,none)
(30,71,0,none)
(25,30,1,none)
(73,9,0,none)
(67,18,1,none)
(43,48,2,none)
(59,51,0,none)
(1,5,0,none)
(30,79,2,none)
(96,10,1,none)
(91,18,0,none)
(90,8,1,none)
(118,10,0,none)
(54,55,0,none)
(14,23,0,none)
(44,34,1,none)
(35,55,2,none)
(33,62,2,none)
(6,25,0,none)
(58,27,1,none)
(71,18,1,none)
(82,9,1,none)
(54,46,0,none)
(58,56,0,none)
(81,10,1,none)
(117,10,1,none)
(7,81,0,none)
(1,6,0,none)
(59,21,1,none)
(46,58,0,none)
(43,64,2,none)
(76,33,0,none)
(87,11,1,none)
(11,18,0,none)
(63,25,1,none)
(30,71,0,none)
(35,32,1,none)
(41,45,2,none)
(91,9,1,none)
(78,24,0,none)
(0,1,0,none)
(81,12,1,none)
(39,73,2,none)
(81,31,0,none)
(65,39,0,none)
(74,11,0,none)
(34,36,0,none)
(59,20,1,none)
(70,36,0,none)
(75,31,0,none)
(77,9,0,none)
(95,9,1,none)
(52,31,1,none)
(31,33,1,none)
(1,2,0,none)
(33,59,2,none)
(45,50,2,none)
(17,76,2,none)
(89,26,0,none)
(70,37,0,none)
(9,81,0,none)
(10,18,0,none)
(62,48,0,none)
(100,14,1,none)
(89,6,0,none)
(48,27,1,none)
(80,8,1,none)
(43,67,2,none)
(56,7,0,none)
(29,32,1,none)
(87,8,1,none)
(19,74,2,none)
(18,74,2,none)
(7,11,0,none)
(84,17,1,none)
(99,14,1,none)
(31,70,0,none)
(92,17,1,none)
(74,19,0,none)
(7,81,0,none)
(90,26,0,none)
(71,34,1,none)
(6,10,0,none)
(97,14,1,none)
(54,55,0,none)
(80,12,1,none)
(87,7,1,none)
(68,22,1,none)
(90,9,1,none)
(103,8,0,none)
(24,30,1,none)
(56,10,0,none)
(5,25,0,none)
(54,23,1,none)
(37,36,0,none)
(54,30,1,none)
(63,47,0,none)
(67,44,0,none)
(87,28,0,none)
(21,80,2,none)
(36,55,2,none)
(54,55,0,none)
(78,25,0,none)
(79,8,1,none)
(27,34,1,none)
(80,16,1,none)
(58,27,1,none)
(8,78,2,none)
(8,79,2,none)
(4,8,0,none)
(59,52,0,none)
(73,20,1,none)
(32,36,0,none)
(56,39,0,none)
(6,3,0,none)
(31,71,0,none)
(95,9,1,none)
(33,60,2,none)
(10,18,0,none)
(14,23,0,none)
(29,35,1,none)
(79,24,0,none)
(1,0,0,none)
(57,18,1,none)
(40,72,2,none)
(31,64,0,none)
(85,17,1,none)
(60,7,0,none)
(1,3,0,none)
(74,30,0,none)
(49,27,1,none)
(90,26,0,none)
(91,18,0,none)
(56,40,0,none)
(82,18,0,none)
(80,31,0,none)
(23,30,0,none)
(58,56,0,none)
(64,46,0,none)
(69,18,1,none)
(33,36,0,none)
(20,81,0,none)
(117,9,1,none)
(56,41,0,none)
(110,10,0,none)
(24,33,1,none)
(67,22,1,none)
(6,9,0,none)
(112,10,1,none)
(13,78,2,none)
(58,46,0,none)
(30,29,1,none)
(35,78,2,none)
(78,10,0,none)
(45,51,2,none)
(87,28,0,none)
(7,5,0,none)
(58,27,1,none)
(61,9,0,none)
(37,80,2,none)
(45,51,2,none)
(20,81,0,none)
(13,21,0,none)
(17,76,2,none)
(63,18,1,none)
(37,36,0,none)
(1,1,0,none)
(41,70,2,none)
(12,78,2,none)
(20,30,0,none)
(115,8,1,none)
(32,63,2,none)
(8,80,2,none)
(31,29,1,none)
(1,2,0,none)
(6,3,0,none)
(22,74,2,none)
(55,47,0,none)
(53,55,0,none)
(9,15,0,none)
(35,55,2,none)
(26,31,1,none)
(39,45,2,none)
(80,25,0,none)
(81,18,0,none)
(32,61,2,none)
(43,48,2,none)
(59,53,0,none)
(69,37,0,none)
(38,52,2,none)
(80,8,1,none)
(79,25,0,none)
(81,16,1,none)
(80,11,1,none)
(26,76,2,none)
(12,25,0,none)
(39,35,1,none)
(75,31,0,none)
(75,31,0,none)
(46,58,0,none)
(24,33,1,none)
(96,15,1,none)
(71,38,0,none)
(88,17,1,none)
(60,9,0,none)
(32,79,2,none)
(81,9,1,none)
(21,30,0,none)
(63,25,1,none)
(32,69,2,none)
(43,67,2,none)
(37,44,0,none)
(35,44,0,key west)
(78,24,0,none)
(93,9,1,none)
(8,9,0,none)
(63,47,0,none)
(38,79,2,none)
(4,24,0,none)
(7,7,0,none)
(56,39,0,none)
(27,31,1,none)
(39,31,1,none)
(80,8,1,none)
(4,24,0,none)
(18,74,2,none)
(38,52,2,none)
(42,68,2,none)
(13,81,0,none)
(41,47,2,none)
(54,8,0,none)
(58,6,0,none)
(101,13,1,none)
(65,39,0,none)
(88,6,0,none)
(51,31,1,none)
(57,10,0,none)
(90,26,0,none)
(67,37,0,none)
(31,79,2,none)
(64,25,1,none)
(7,7,0,none)
(8,81,0,none)
(80,31,0,none)
(15,77,2,none)
(1,6,0,none)
(30,71,0,none)
(69,22,1,none)
(30,32,1,none)
(60,54,0,none)
(41,47,2,none)
(20,29,0,none)
(91,9,1,none)
(56,28,1,none)
(38,78,2,none)
(91,9,1,none)
(32,62,2,none)
(79,23,0,none)
(72,18,1,none)
(45,28,1,none)
(31,27,1,none)
(87,6,0,none)
(23,32,0,none)
(37,31,1,none)
(6,1,0,none)
(14,81,0,none)
(34,57,2,none)
(57,39,0,none)
(113,10,1,none)
(43,68,2,none)
(59,46,0,none)
(63,18,1,none)
(33,36,0,none)
(34,32,1,none)
(82,8,1,none)
(4,8,0,none)
(99,14,1,none)
(76,8,0,none)
(50,27,1,none)
(73,18,1,none)
(6,4,0,none)
(55,46,0,none)
(55,46,0,none)
(100,10,1,none)
(114,10,1,none)
(8,78,2,none)
(72,20,1,none)
(65,38,0,none)
(79,24,0,none)
(38,76,2,none)
(37,53,2,none)
(64,45,0,none)
(7,6,0,none)
(18,81,0,none)
(38,79,2,none)
(80,12,1,none)
(16,81,0,none)
(26,31,1,none)
(35,31,1,none)
(115,10,1,none)
(45,60,2,none)
(92,9,1,none)
(70,18,1,none)
(2,24,0,none)
(31,63,0,none)
(29,72,0,none)
(35,31,1,none)
(35,79,2,none)
(58,55,0,none)
(71,18,1,none)
(1,7,0,none)
(22,29,0,none)
(59,51,0,none)
(82,15,1,none)
(75,31,0,none)
(54,55,0,none)
(21,74,2,none)
(46,56,0,none)
(95,16,1,none)
(18,74,2,none)
(22,30,0,none)
(41,35,1,none)
(1,6,0,none)
(64,47,0,none)
(55,55,0,none)
(44,63,2,none)
(27,34,1,none)
(94,16,1,none)
(71,38,0,none)
(1,5,0,none)
(101,13,1,none)
(80,12,1,none)
(76,32,0,none)
(60,18,1,none)
(69,22,1,none)
(87,7,1,none)
(110,8,0,none)
(69,35,1,none)
(6,3,0,none)
(53,24,1,none)
(81,11,1,none)
(52,54,0,none)
(77,9,0,none)
(54,23,1,none)
(38,30,1,none)
(23,76,2,none)
(104,11,0,none)
(34,33,1,none)
(20,73,0,none)
(53,54,0,none)
(58,7,0,none)
(32,28,1,none)
(54,30,1,none)
(44,29,1,none)
(35,80,2,none)
(91,18,0,none)
(100,10,1,none)
(52,54,0,none)
(25,31,1,none)
(97,10,1,none)
(73,41,0,none)
(42,30,1,none)
(44,48,2,none)
(67,22,1,none)
(114,8,1,none)
(48,32,1,none)
(39,75,2,none)
(50,27,1,none)
(69,36,0,none)
(10,24,0,none)
(13,20,0,none)
(32,35,1,none)
(8,25,0,none)
(31,65,0,none)
(58,46,0,none)
(76,31,0,none)
(61,49,0,none)
(68,41,0,none)
(32,69,2,none)
(41,71,2,none)
(32,28,1,none)
(8,77,2,none)
(82,10,1,none)
(77,10,0,none)
(30,35,1,none)
(18,75,2,none)
(58,19,1,none)
(28,35,1,none)
(104,11,0,none)
(95,16,1,none)
(10,17,0,none)
(64,7,0,none)
(69,37,0,none)
(29,35,1,none)
(21,80,2,none)
(54,44,0,none)
(55,55,0,none)
(36,31,1,none)
(7,25,0,none)
(72,18,1,none)
(33,58,2,none)
(23,75,2,none)
(41,45,2,none)
(70,35,1,none)
(24,76,2,none)
(83,10,1,none)
(55,42,0,none)
(78,16,0,none)
(1,4,0,none)
(32,27,1,none)
(99,10,1,none)
(7,6,0,none)
(1,5,0,none)
(68,22,1,none)
(102,8,1,none)
(80,10,1,none)
(82,12,1,none)
(59,21,1,none)
(22,80,2,none)
(42,69,2,none)
(3,24,0,none)
(53,24,1,none)
(67,24,1,none)
(52,31,1,none)
(73,9,0,none)
(29,79,2,none)
(33,58,2,none)
(38,52,2,none)
(25,31,1,none)
(12,25,0,none)
(8,10,0,none)
(59,20,1,none)
(9,11,0,none)
(67,23,1,none)
(86,29,0,none)
(39,45,2,none)
(77,8,0,none)
(59,22,1,none)
(39,44,0,none)
(55,8,0,none)
(31,35,1,none)
(22,75,2,none)
(103,12,0,none)
(114,8,1,none)
(56,40,0,none)
(56,18,1,none)
(33,62,2,none)
(21,74,2,none)
(62,7,0,none)
(88,6,0,none)
(21,74,2,none)
(54,43,0,none)
(38,77,2,none)
(82,13,1,none)
(43,64,2,none)
(28,31,1,none)
(58,10,0,none)
(80,16,1,none)
(10,78,2,none)
(40,72,2,none)
(5,9,0,none)
(53,10,0,none)
(60,18,1,none)
(79,16,1,none)
(47,28,1,none)
(55,29,1,none)
(9,14,0,none)
(39,36,0,none)
(30,28,1,none)
(1,24,0,none)
(10,16,0,none)
(46,55,0,fort lauderdale)
(13,22,0,none)
(76,32,0,none)
(18,75,2,none)
(67,43,0,none)
(52,31,1,none)
(42,35,1,none)
(44,61,2,none)
(30,28,1,none)
(62,48,0,none)
(64,45,0,none)
(2,7,0,none)
(68,17,0,none)
(1,24,0,none)
(84,11,1,none)
(68,41,0,none)
(110,9,0,none)
(66,24,1,none)
(46,34,1,none)
(73,40,0,none)
(61,26,1,none)
(28,32,1,none)
(21,80,2,none)
(100,14,1,none)
(44,47,2,none)
(32,64,2,none)
(76,7,0,none)
(65,38,0,none)
(82,15,1,none)
(41,45,2,none)
(1,4,0,none)
(58,18,1,none)
(3,24,0,none)
(97,15,1,none)
(35,58,2,none)
(38,44,0,none)
(12,81,0,none)
(73,10,0,none)
(25,34,1,none)
(36,36,0,none)
(16,81,0,none)
(58,28,1,none)
(68,42,0,none)
(59,54,0,none)
(39,51,2,none)
(118,9,0,none)
(90,18,0,none)
(5,24,0,none)
(8,77,2,none)
(89,7,1,none)
(36,31,1,none)
(74,19,0,none)
(34,57,2,none)
(59,55,0,none)
(44,48,2,none)
(8,78,2,none)
(67,43,0,none)
(102,12,1,none)
(23,75,2,none)
(61,9,0,none)
(118,10,0,none)
(13,24,0,none)
(75,32,0,none)
(80,10,1,none)
(63,8,0,none)
(62,7,0,none)
(74,11,0,none)
(21,73,0,none)
(84,28,0,none)
(54,44,0,none)
(84,28,0,none)
(26,34,1,none)
(86,29,0,none)
(50,31,1,none)
(53,44,0,none)
(36,32,1,none)
(92,17,1,none)
(37,52,2,none)
(4,8,0,none)
(68,37,0,none)
(47,33,1,none)
(60,26,1,none)
(53,9,0,none)
(31,64,0,none)
(56,45,0,none)
(88,18,0,none)
(60,54,0,none)
(59,21,1,none)
(48,27,1,none)
(43,30,1,none)
(45,49,2,none)
(112,10,1,none)
(7,5,0,none)
(36,33,1,none)
(63,8,0,none)
(45,59,2,none)
(69,35,1,none)
(55,46,0,none)
(110,9,0,none)
(32,60,2,st. petersburg)
(53,43,0,none)
(58,22,1,none)
(80,25,0,none)
(33,79,2,none)
(11,81,0,none)
(42,66,2,none)
(13,78,2,none)
(23,79,2,none)
(56,55,0,none)
(44,62,2,none)
(72,18,1,none)
(88,18,0,none)
(35,56,2,none)
(3,7,0,none)
(7,8,0,none)
(43,48,2,none)
(114,10,1,none)
(54,55,0,none)
(11,24,0,none)
(43,67,2,none)
(35,80,2,none)
(89,6,0,none)
(100,13,1,none)
(98,13,1,none)
(64,25,1,none)
(32,63,2,none)
(43,65,2,none)
(45,51,2,none)
(74,11,0,none)
(35,78,2,none)
(6,8,0,none)
(4,7,0,none)
(116,8,1,none)
(58,10,0,none)
(55,42,0,none)
(102,9,1,none)
(18,75,2,none)
(86,17,1,none)
(99,15,1,none)
(15,81,0,none)
(113,8,1,none)
(104,11,0,none)
(6,8,0,none)
(6,9,0,none)
(7,6,0,none)
(86,9,1,none)
(82,8,1,none)
(39,74,2,none)
(43,46,2,none)
(22,29,0,none)
(38,44,0,none)
(103,9,0,none)
(34,78,2,none)
(40,35,1,none)
(23,33,0,none)
(56,45,0,none)
(18,74,2,none)
(114,8,1,none)
(23,75,2,none)
(43,35,1,none)
(1,4,0,none)
(6,9,0,none)
(79,10,1,none)
(80,24,0,none)
(47,33,1,none)
(33,63,2,tampa)
(40,30,1,none)
(80,25,0,none)
(115,10,1,none)
(7,80,0,none)
(24,79,2,none)
(20,74,2,none)
(102,9,1,none)
(53,44,0,none)
(89,26,0,none)
(30,29,1,none)
(78,17,0,none)
(9,11,0,none)
(39,45,2,none)
(56,44,0,none)
(30,29,1,none)
(65,24,1,none)
(75,11,0,none)
(13,24,0,none)
(17,75,2,none)
(20,81,0,none)
(39,74,2,none)
(43,34,1,none)
(42,45,2,none)
(39,35,1,none)
(20,81,0,none)
(52,55,0,none)
(33,63,2,tampa)
